customer,invoice_date,qty_shipped,item,description,industry,contact_owner,lifetime_sales,first_sale,county,market_opportunity,%_market_opp,item_price_rank,target
1ZFSIT,2019-09-20,3.0,PMPN4284,MOTO MULTI-UNIT CHARGER,Agriculture,Kelly Hoek,51213.65,12/14/2018,Ottawa,825673.0,0.309,184,1
1BUTSE,2016-03-28,15.0,PMMN4041,MOTO IMPRES PSM SPRK MIC,Healthcare,Skip Petrovich,86217.37,11/01/1999,Kent,1601574.0,0.42100000000000004,461,1
1LEECS,2016-03-11,11.0,PMMN4071,MOTO IMPRESS RSM LARGE 3.5 JCK,Law Enforcement,Jessica Spindler,27704.41,11/01/1999,Leelanau,47091.0,0.015,557,1
1GUAPR,2018-10-24,1.0,AAH56RDC9RA1AN,MOTO XPR 7350E 403-512 4W NKP,Manufacturing,Kelly Hoek,35554.07,11/01/1999,Ottawa,825673.0,0.309,85,1
7HARSP,2016-03-11,1.0,AAH02JDH9JA2,MOTO XPR3500 136-174 128CH,Government Services,Jessica Spindler,11667.91,11/01/1999,Emmet,80040.0,0.131,204,1
4STJOS,2017-10-27,1.0,93056,PRINTEK FIELDPRO 530 BLUETOOTH,Law Enforcement,Tom Gillespie,151637.87,11/01/1999,Berrien,510290.0,0.29100000000000004,201,1
1HAWOR,2020-06-12,2.0,AAH56RDN9RA1AN,MOTO XPR 7550e FKP GPS BT,Manufacturing,Kelly Hoek,78468.79,11/01/1999,Ottawa,825673.0,0.309,82,1
1GUAPR,2015-06-05,1.0,AAH56RDC9KA1,XPR7350 UHF PORTABLE 4W 32CH,Manufacturing,Kelly Hoek,35554.07,11/01/1999,Ottawa,825673.0,0.309,112,1
1MERAM,2015-12-09,85.0,AAH56RDN9KA1,XPR7550 UHF PORTABLE 4W 1000CH,Fire & EMS,Skip Petrovich,220080.87,11/01/1999,Kent,1601574.0,0.42100000000000004,115,1
1NBFAS,2015-12-18,5.0,AAH02JDH9JA2,MOTO XPR3500 136-174 128CH,K12 Education,Tom Gillespie,41701.03,9/29/2015,Berrien,510290.0,0.29100000000000004,204,1
1ZEEFD,2018-04-26,2.0,AAM28JQN9RA1AN,MOTO XPR 5550E 136-174 45W,Fire & EMS,Keith Johnson,37839.27,11/01/1999,Ottawa,825673.0,0.309,136,1
1DAVEN,2016-06-27,1.0,DB404B,UHF BROADBAND ANTENNA,Colleges & Universities,Skip Petrovich,138927.31,7/28/2003,Kent,1601574.0,0.42100000000000004,217,1
4SOUHC,2015-02-27,20.0,AAH01QDC9JA2,CP200D UHF 4W ND,Healthcare,Tom Gillespie,34644.51,11/01/1999,Van Buren,165946.0,0.257,236,1
1ZEEFS,2019-06-28,10.0,AAH56RDC9WA1AN,MOTO XPR 7350E 403-512 4W NKP,Agriculture,Kelly Hoek,68913.25,11/01/1999,Ottawa,825673.0,0.309,85,1
4STJOS,2017-03-17,1.0,CMMCMTSALT17,TROY MC SWING-ARM LAPTOP MOUNT,Law Enforcement,Tom Gillespie,151637.87,11/01/1999,Berrien,510290.0,0.29100000000000004,187,1
1SUSPA,2015-02-20,2.0,AAH84RCJ8AA1,MOTO BPR40 UHF 4W 16CH NAVY,Manufacturing,Skip Petrovich,3365.79,9/14/2004,Ottawa,825673.0,0.309,374,1
1COAST,2015-05-08,1.0,AAH84KDJ8AA1,MOTO BPR40 16CH 5W 150-174 VHF,Manufacturing,Kelly Hoek,6963.3,5/10/2011,Ottawa,825673.0,0.309,381,1
1MONTM,2015-07-17,1.0,AAM01JQH9JA1,MOTO CM300D 136-174 45W MOBILE,911 & Dispatch,Jessica Spindler,24346.19,5/20/2013,Montmorency,16068.0,0.222,193,1
1BUTSE,2016-03-31,15.0,PMMN4041,MOTO IMPRES PSM SPRK MIC,Healthcare,Skip Petrovich,86217.37,11/01/1999,Kent,1601574.0,0.42100000000000004,461,1
1AVOAU,2019-02-07,2.0,AAH02RDH9VA1AN,MOTO XPR 3500E 403-512 4W LKP,Manufacturing,Jessica Spindler,88586.35,9/29/2008,Wexford,67091.0,0.114,177,1
1ZEEBP,2018-11-09,1.0,AAM01JQH9JC1AN,MOTO CM300D 136-174 45W 99CH,Utilities,Keith Johnson,17812.11,11/01/1999,Ottawa,825673.0,0.309,195,1
1ALLTF,2018-08-10,10.0,PROMO GS9XBRC-SXXXEN,UNIC G4/G5 STD DESKTOP CHRGR,Fire & EMS,Keith Johnson,18739.51,11/01/1999,Allegan,318656.0,0.149,663,1
1HAWOR,2020-06-12,2.0,AAH56RDN9RA1AN,MOTO XPR 7550e FKP GPS BT,Manufacturing,Kelly Hoek,78468.79,11/01/1999,Ottawa,825673.0,0.309,82,1
1GUAPR,2015-06-05,1.0,AAH56RDC9KA1,XPR7350 UHF PORTABLE 4W 32CH,Manufacturing,Kelly Hoek,35554.07,11/01/1999,Ottawa,825673.0,0.309,112,1
7MACPD,2015-03-31,2.0,AAH56JDN9KA1,XPR7550 VHF PORTABLE 5W 1000CH,Government Services,Jessica Spindler,10395.99,11/01/1999,Emmet,80040.0,0.131,107,1
7MARMA,2015-12-18,6.0,AAH01JDC9JA2,CP200D VHF 5W ND,Manufacturing,Jessica Spindler,85206.71,11/01/1999,Manistee,62275.0,0.39,252,1
1PERRI,2015-04-24,2.0,AAH56RDN9KA1,XPR7550 UHF PORTABLE 4W 1000CH,Manufacturing,Kelly Hoek,431948.95,3/20/2014,Allegan,318656.0,0.149,115,1
1OTSEG,2018-09-11,2.0,V5530-LVZ-M-GEN,CALAMP VANGUARD 5530 ROUTER,Fire & EMS,Jessica Spindler,373313.3,7/23/2013,Otsego,63870.0,0.134,197,1
1FENFD,2019-08-30,6.0,NNTN8930,MOTO BATT IMPRESS 2 LIION,Fire & EMS,Keith Johnson,5537.85,11/01/1999,Allegan,318656.0,0.149,491,1
1DORFD,2018-07-27,16.0,PROMO GS9XBRC-SXXXEN,UNIC G4/G5 STD DESKTOP CHRGR,Fire & EMS,Keith Johnson,13837.47,11/01/1999,Allegan,318656.0,0.149,663,1
1HUDPS,2018-12-27,1.0,AC127U502-MOT-NA,MOTO VX-264-G6-5 UHF 403-470,K12 Education,Keith Johnson,2363.0,1/21/2013,Ottawa,825673.0,0.309,328,1
1CLARC,2018-05-30,1.0,AAH01QDC9JA2AN,MOTO CP200D 403-470 4W ND,Hospitality,Skip Petrovich,11483.63,11/01/1999,Kent,1601574.0,0.42100000000000004,218,1
1BUTSE,2016-03-31,15.0,PMMN4041,MOTO IMPRES PSM SPRK MIC,Healthcare,Skip Petrovich,86217.37,11/01/1999,Kent,1601574.0,0.42100000000000004,461,1
1OVEFD,2015-09-04,4.0,A03JAC9JA2,MOTO MIN VI PAGER VHF 143-174,Fire & EMS,Keith Johnson,10223.07,11/01/1999,Ottawa,825673.0,0.309,245,1
1JAMES,2020-02-19,3.0,RLN6551B,MOTO WIRELESS RSM - LONG RANGE,Fire & EMS,Keith Johnson,31801.0,11/01/1999,Ottawa,825673.0,0.309,213,1
1GEOTF,2015-12-28,4.0,A03JAC9JA1,MOTO M6 PAGER 143-174 MHZ,Fire & EMS,Keith Johnson,38859.17,11/01/1999,Ottawa,825673.0,0.309,223,1
7AJDFP,2019-02-22,1.0,AAM01QPC9JC1AN,MOTO CM200D 403-470 40W 16CH,Manufacturing,Jessica Spindler,7358.29,1/21/2003,Crawford,5375.0,4.437,196,1
1KEEBL,2020-06-30,4.0,AAH02RDC9VA1AN,MOTO XPR 3300E 403-512 4W,Manufacturing,Skip Petrovich,94027.6,11/01/1999,Kent,1601574.0,0.42100000000000004,182,1
1DAVEN,2016-06-27,1.0,DB404B,UHF BROADBAND ANTENNA,Colleges & Universities,Skip Petrovich,138927.31,7/28/2003,Kent,1601574.0,0.42100000000000004,217,1
1GUAPR,2015-06-05,1.0,AAH56RDC9KA1,XPR7350 UHF PORTABLE 4W 32CH,Manufacturing,Kelly Hoek,35554.07,11/01/1999,Ottawa,825673.0,0.309,112,1
7MACIO,2016-11-30,2.0,AAM01JQC9JA1,MOTO CM200D 136-174 45W MOBILE,Government Services,Jessica Spindler,23082.35,1/24/2002,Manistee,62275.0,0.39,215,1
4WYCCH,2019-04-18,8.0,PMMN4050,MOTO IMPRES REMOTE SPEAKER MIC,Manufacturing,Tom Gillespie,46905.21,11/01/1999,Van Buren,165946.0,0.257,519,1
4NEWPD,2015-09-18,1.0,AAEZ23FSUV,AMERICAN ALUM 2/3 1/3 EZ RIDER,Law Enforcement,Tom Gillespie,78911.35,11/08/2002,Berrien,510290.0,0.29100000000000004,35,1
1HOLSD,2017-02-24,1.0,AAM01JQC9JC1,MOTO CM200D 136-174 45W MOBILE,Government Services,Keith Johnson,8921.47,11/01/1999,Ottawa,825673.0,0.309,215,1
1AVOAU,2018-11-13,1.0,AAM28QPC9RA1AN,MOTO XPR 5350E 403-470M 40W,Manufacturing,Jessica Spindler,88586.35,9/29/2008,Wexford,67091.0,0.114,125,1
1WETEC,2017-08-11,1.0,PMMN4073,"IMPRESS RSM,SMALL 3.5 JACK",Telecommunications,Kelly Hoek,5068.23,11/01/1999,Ottawa,825673.0,0.309,562,1
1HOLBP,2020-04-10,2.0,AAH02RDH9VA1AN,MOTO XPR 3500E 403-512 4W LKP,Utilities,Keith Johnson,83773.36,11/01/1999,Ottawa,825673.0,0.309,177,1
1SUNMA,2018-10-24,12.0,PMNN4468,MOTO BATT LIION 2300T,Healthcare,Kelly Hoek,64147.13,11/01/1999,Ottawa,825673.0,0.309,677,1
1KEEBL,2020-03-21,1.0,AAH02RDC9VA1AN,MOTO XPR 3300E 403-512 4W,Manufacturing,Skip Petrovich,94027.6,11/01/1999,Kent,1601574.0,0.42100000000000004,182,1
1POKPP,2017-11-22,2.0,RX2700,"CODE 3 47"" LIGHTBAR",Law Enforcement,Tom Gillespie,306781.47,12/30/2003,Cass,121875.0,0.073,48,1
1HILIT,2017-10-06,2.0,AAH01QDC9JA2,MOTO CP200D UHF 4W ND,Manufacturing,Pat McBride,67967.41,7/24/2012,Muskegon,281690.0,0.17600000000000002,221,1
1KENPS,2018-11-29,1.0,AAR10QCGANQ1AN,MOTO SLR 5700 403-470 1-50W,K12 Education,Keith Johnson,208252.36,11/01/1999,Kent,1601574.0,0.42100000000000004,21,1
1EMPDI,2015-06-26,5.0,AAH01JDC9JC2,CP200D VHF 5W ND ANALOG,Manufacturing,Kelly Hoek,21504.07,11/01/1999,Ottawa,825673.0,0.309,285,1
4STJOS,2017-02-24,1.0,RX2700CC,"CODE 3 RX2700CC 47"" LIGHTBAR",Law Enforcement,Tom Gillespie,151637.87,11/01/1999,Berrien,510290.0,0.29100000000000004,47,1
1ZFSIT,2020-03-29,1.0,T8319,MOTO SLR 8000 BASE RADIO,Agriculture,Kelly Hoek,51213.65,12/14/2018,Ottawa,825673.0,0.309,5,1
4STJOS,2017-02-24,1.0,RX2700CC,"CODE 3 RX2700CC 47"" LIGHTBAR",Law Enforcement,Tom Gillespie,151637.87,11/01/1999,Berrien,510290.0,0.29100000000000004,47,1
1KINSD,2016-12-30,1.0,AAR10QCGANQ1AN,MOTO SLR 5700 403-470 1-50W,K12 Education,Skip Petrovich,23073.18,10/13/2016,Kent,1601574.0,0.42100000000000004,21,1
1GEOTF,2016-09-23,4.0,A03JAC9JA1,MOTO M6 PAGER 143-174 MHZ,Fire & EMS,Keith Johnson,38859.17,11/01/1999,Ottawa,825673.0,0.309,223,1
1SUNMA,2018-09-18,1.0,AAH88QCC9JA2AN,MOTO SL300 403-470 UHF 2 CH ND,Healthcare,Kelly Hoek,64147.13,11/01/1999,Ottawa,825673.0,0.309,312,1
1DOWAG,2015-12-31,5.0,PJ622,BROTHER POCKETJET 6,Government Services,Tom Gillespie,44583.61,11/01/1999,Cass,121875.0,0.073,226,1
1HILIT,2017-10-06,2.0,AAH01QDC9JA2,MOTO CP200D UHF 4W ND,Manufacturing,Pat McBride,67967.41,7/24/2012,Muskegon,281690.0,0.17600000000000002,221,1
1ZEEFS,2019-06-28,10.0,AAH56RDC9WA1AN,MOTO XPR 7350E 403-512 4W NKP,Agriculture,Kelly Hoek,68913.25,11/01/1999,Ottawa,825673.0,0.309,85,1
7NMHOS,2018-06-29,6.0,AAH56RDN9WA1AN,MOTO XPR 7550E FKP GPS GOB BT,Healthcare,Jessica Spindler,73671.63,11/01/1999,Emmet,80040.0,0.131,87,1
1BUTSE,2016-03-28,15.0,PMMN4041,MOTO IMPRES PSM SPRK MIC,Healthcare,Skip Petrovich,86217.37,11/01/1999,Kent,1601574.0,0.42100000000000004,461,1
1OTISD,2019-11-27,1.0,AAH56RDN9RA1AN,MOTO XPR 7550e FKP GPS BT,K12 Education,Keith Johnson,114334.56,9/20/2006,Ottawa,825673.0,0.309,82,1
1OTTSD,2018-03-29,1.0,1409320100,CALAMP FUSION LTE ROUTER,Law Enforcement,Keith Johnson,848407.03,11/01/1999,Ottawa,825673.0,0.309,52,1
1GEDYM,2020-06-19,2.0,AAH01QDC9JA2AN,MOTO CP200D 403-470 4W ND,Manufacturing,Pat McBride,6447.33,5/22/2002,Muskegon,281690.0,0.17600000000000002,218,1
1SAUFD,2015-04-24,1.0,BPF1604,PYRAMID PRE-SELECTOR FILTER,Fire & EMS,Keith Johnson,20031.1,11/01/1999,Allegan,318656.0,0.149,294,1
1GUAPR,2018-12-20,1.0,AAH56RDC9RA1AN,MOTO XPR 7350E 403-512 4W NKP,Manufacturing,Kelly Hoek,35554.07,11/01/1999,Ottawa,825673.0,0.309,85,1
